material_name,material_type,strength_kg,weight_g_per_m2,biodegradability_score,co2_emission_kg_per_kg,recyclability_percent,cost_kg
1,Kraft_Paper,Paper,120,190,0.9,0.7,80,0.12,0.3
2,Corrugated_Carton,Paper,300,200,0.85,0.9,70,0.20,0.4
3,Molded_Pulp,Pulp,200,350,0.95,0.4,90,0.18,0.2
4,PLA_Bioplastic,Plastic,110,30,0.6,1.5,50,0.25,0.5
5,Recycled_PE_Film,Plastic,70,40,0.5,1.3,60,0.15,0.4
6,Bamboo_Fiber,Pulp,250,220,0.92,0.6,85,0.22,0.4
7,Sugarcane_Bagasse,Pulp,180,300,0.95,0.5,90,0.17,0.2
8,Jute_Fiber,Textile,150,350,0.88,0.8,75,0.16,0.4
9,Hemp_Fiber,Textile,170,330,0.9,0.7,80,0.18,0.5
10,Starch_Bioplastic,Plastic,90,50,0.85,1.2,60,0.21,0.3
11,Cornstarch_Packaging,Compostable,80,40,0.95,0.7,65,0.23,0.3
12,Mushroom_Packaging,Compostable,140,250,0.98,0.3,95,0.30,0.2
13,Recycled_Paper_Board,Paper,200,250,0.8,0.9,85,0.14,0.3
14,Recycled_PET_Sheet,Plastic,250,180,0.5,1.4,60,0.19,0.5
15,Bubble_Wrap_Alternative,Paper,40,60,0.9,0.5,75,0.10,0.1
16,Coconut_Coir_Packaging,Biofiber,130,300,0.92,0.6,80,0.20,0.2
17,Seaweed_BioWrap,Compostable,50,25,0.99,0.2,70,0.35,0.2
18,Air_Paper_Pods,Paper,60,70,0.85,0.4,80,0.18,0.1
19,Duplex_Board,Paper,260,210,0.75,1.0,70,0.19,0.3
20,PaperFoam,Compostable,100,150,0.97,0.3,85,0.28,0.2
